,student_id,address,gender,second_perc,high_perc,high_spec,degree_perc,degree_type,work_experience,experience_years,employability_perc,mba_spec,mba_perc,salary,placed,start_date,end_date,duration
0,17264,"70304 Baker Turnpike
Ericborough, MS 15086",M,67.0,91.0,Commerce,58.0,Sci&Tech,False,0,55.0,Mkt&HR,58.8,27000.0,True,2020-07-23,2020-10-12,3.0
1,17265,"805 Herrera Avenue Apt. 134
Maryview, NJ 36510",M,79.33,78.33,Science,77.48,Sci&Tech,True,1,86.5,Mkt&Fin,66.28,20000.0,True,2020-01-11,2020-04-09,3.0
2,17266,"3702 Bradley Island
North Victor, FL 12268",M,65.0,68.0,Arts,64.0,Comm&Mgmt,False,0,75.0,Mkt&Fin,57.8,25000.0,True,2020-01-26,2020-07-13,6.0
3,17267,"Unit 0879 Box 3878
DPO AP 42663",M,56.0,52.0,Science,52.0,Sci&Tech,False,0,66.0,Mkt&HR,59.43,,False,,,
4,17268,"96493 Kelly Canyon Apt. 145
East Steven, NC 35475",M,85.8,73.6,Commerce,73.3,Comm&Mgmt,False,0,96.8,Mkt&Fin,55.5,42500.0,True,2020-07-04,2020-09-27,3.0
5,17269,"Unit 7945 Box 5398
DPO AA 18917",M,55.0,49.8,Science,67.25,Sci&Tech,True,1,55.0,Mkt&Fin,51.58,,False,,,
6,17270,"943 Martha Wells
Owensborough, NC 46065",F,46.0,49.2,Commerce,79.0,Comm&Mgmt,False,0,74.28,Mkt&Fin,53.29,,False,,,
7,17271,"195 Kevin Parkways Apt. 828
Toddland, TN 54615",M,82.0,64.0,Science,66.0,Sci&Tech,True,1,67.0,Mkt&Fin,62.14,25200.0,True,2020-01-26,2020-05-01,3.0
8,17272,"PSC 2024, Box 1677
APO AP 99732",M,73.0,79.0,Commerce,72.0,Comm&Mgmt,False,0,91.34,Mkt&Fin,61.29,23100.0,True,2020-01-26,2020-08-07,6.0
9,17273,"336 Davis Drives Apt. 411
New Reginashire, CT 85926",M,58.0,70.0,Commerce,61.0,Comm&Mgmt,False,0,54.0,Mkt&Fin,52.21,,False,,,
10,17274,"786 Shane Bridge Suite 165
North Douglas, GA 94180",M,58.0,61.0,Commerce,60.0,Comm&Mgmt,True,1,62.0,Mkt&HR,60.85,26000.0,True,2020-07-06,2020-10-17,3.0
11,17275,"USS Sanchez
FPO AA 16841",M,69.6,68.4,Commerce,78.3,Comm&Mgmt,True,1,60.0,Mkt&Fin,63.7,25000.0,True,2020-07-03,2020-10-03,3.0
12,17276,"21119 Bailey Mall Apt. 215
Cameronbury, GA 31205",F,47.0,55.0,Science,65.0,Comm&Mgmt,False,0,62.0,Mkt&HR,65.04,,False,,,
13,17277,"USNS Ellis
FPO AP 62042",F,77.0,87.0,Commerce,59.0,Comm&Mgmt,False,0,68.0,Mkt&Fin,68.63,21800.0,True,2020-01-27,2020-05-06,3.0
14,17278,"4210 Baker Stravenue
North Christopher, WI 90462",M,62.0,47.0,Commerce,50.0,Comm&Mgmt,False,0,76.0,Mkt&HR,54.96,,False,,,
15,17279,"PSC 1354, Box 1414
APO AA 25325",F,65.0,75.0,Commerce,69.0,Comm&Mgmt,True,1,72.0,Mkt&Fin,64.66,20000.0,True,2020-07-25,2020-11-05,3.0
16,17280,"081 Carrie Square Apt. 439
Johnsontown, NM 66991",M,63.0,66.2,Commerce,65.6,Comm&Mgmt,True,1,60.0,Mkt&Fin,62.54,30000.0,True,2020-01-29,2020-08-09,6.0
17,17281,"36924 Jamie Cliffs
Phillipmouth, TX 21393",F,55.0,67.0,Commerce,64.0,Comm&Mgmt,False,0,60.0,Mkt&Fin,67.28,,False,,,
18,17282,"8065 Williams Lodge
Richardfurt, MT 35336",F,63.0,66.0,Commerce,64.0,Comm&Mgmt,False,0,68.0,Mkt&HR,64.08,,False,,,
19,17283,"87765 William Mews Suite 474
Michaelhaven, IL 32955",M,60.0,67.0,Arts,70.0,Comm&Mgmt,True,1,50.48,Mkt&Fin,77.89,23600.0,True,2020-01-24,2021-01-08,12.0
20,17284,"37889 Rowe Coves Apt. 292
New Evan, CA 53334",M,62.0,65.0,Commerce,66.0,Comm&Mgmt,False,0,50.0,Mkt&HR,56.7,26500.0,True,2020-01-24,2021-01-15,12.0
21,17285,"1350 Tyler Hollow
New Jacquelineport, OH 59348",F,79.0,76.0,Commerce,85.0,Comm&Mgmt,False,0,95.0,Mkt&Fin,69.06,39300.0,True,2020-01-18,2020-04-08,3.0
22,17286,"2707 Maria Parkways Apt. 743
Alisonview, TN 81819",F,69.8,60.8,Science,72.23,Sci&Tech,False,0,55.53,Mkt&HR,68.81,36000.0,True,2020-07-11,2020-10-19,3.0
23,17287,"6021 Linda Lake
New Ryan, FL 11149",F,77.4,60.0,Science,64.74,Sci&Tech,True,2,92.0,Mkt&Fin,63.62,30000.0,True,2020-01-10,2020-12-20,12.0
24,17288,"0014 Charles Points
Courtneychester, WI 79887",M,76.5,97.7,Science,78.86,Sci&Tech,False,0,97.4,Mkt&Fin,74.01,36000.0,True,2020-01-16,2020-12-30,12.0
25,17289,"0399 Miller Fords Suite 748
Lake Stephen, WY 23782",F,52.58,54.6,Commerce,50.2,Comm&Mgmt,True,1,76.0,Mkt&Fin,65.33,,False,,,
26,17290,"14174 Erin Alley
Martinland, VT 68889",M,71.0,79.0,Commerce,66.0,Comm&Mgmt,True,1,94.0,Mkt&Fin,57.55,24000.0,True,2020-01-23,2020-04-10,3.0
27,17291,"91928 Santos Bypass
South Jennifer, KS 52782",M,63.0,67.0,Commerce,66.0,Comm&Mgmt,False,0,68.0,Mkt&HR,57.69,26500.0,True,2020-01-06,2020-04-13,3.0
28,17292,"2348 Washington Oval Apt. 978
Owensbury, HI 71294",M,76.76,76.5,Commerce,67.5,Comm&Mgmt,True,1,73.35,Mkt&Fin,64.15,35000.0,True,2020-01-03,2020-06-23,6.0
29,17293,"9518 Goodman Station Suite 019
West Charles, MS 24434",M,62.0,67.0,Commerce,58.0,Comm&Mgmt,False,0,77.0,Mkt&Fin,51.29,,False,,,
30,17294,"814 Mcclain Walk
New Melissashire, MT 20272",F,64.0,73.5,Commerce,73.0,Comm&Mgmt,False,0,52.0,Mkt&HR,56.7,25000.0,True,2020-01-26,2020-08-03,6.0
31,17295,"67904 Bowen Ways Suite 290
Hernandezville, VT 93673",F,67.0,53.0,Science,65.0,Sci&Tech,False,0,64.0,Mkt&HR,58.32,,False,,,
32,17296,"54911 Gloria Island
Lake Veronica, WA 91035",F,61.0,81.0,Commerce,66.4,Comm&Mgmt,False,0,50.89,Mkt&HR,62.21,27800.0,True,2020-01-29,2020-04-25,3.0
33,17297,"88421 Medina Prairie Suite 001
Port Amanda, NY 24214",F,87.0,65.0,Science,81.0,Comm&Mgmt,True,1,88.0,Mkt&Fin,72.78,26000.0,True,2020-01-12,2020-07-17,6.0
34,17298,"61900 Monica Stream Suite 028
Port Michael, MT 85219",M,62.0,51.0,Science,52.0,Others,False,0,68.44,Mkt&HR,62.77,,False,,,
35,17299,"51067 Turner Parks Suite 297
North Gregoryborough, OH 52841",F,69.0,78.0,Commerce,72.0,Comm&Mgmt,False,0,71.0,Mkt&HR,62.74,30000.0,True,2020-01-28,2020-05-09,3.0
36,17300,"016 Jessica Brooks Suite 606
Port Laura, PA 95027",M,51.0,44.0,Commerce,57.0,Comm&Mgmt,False,0,64.0,Mkt&Fin,51.45,,False,,,
37,17301,"231 Rachel Trail Apt. 886
East Jennifer, CO 27911",F,79.0,76.0,Science,65.6,Sci&Tech,False,0,58.0,Mkt&HR,55.47,32000.0,True,2020-07-22,2020-10-24,3.0
38,17302,"2028 Cunningham Fords
North Dominic, SC 99336",F,73.0,58.0,Science,66.0,Comm&Mgmt,False,0,53.7,Mkt&HR,56.86,24000.0,True,2020-01-13,2020-07-19,6.0
39,17303,"1825 Miles Ridge Suite 106
Port Stephanieland, TX 11222",M,81.0,68.0,Science,64.0,Sci&Tech,False,0,93.0,Mkt&Fin,62.56,41100.0,True,2020-01-22,2020-04-14,3.0
40,17304,"75756 Anthony Prairie
North Charlene, CA 60546",F,78.0,77.0,Commerce,80.0,Comm&Mgmt,False,0,60.0,Mkt&Fin,66.72,28700.0,True,2020-01-19,2020-04-03,3.0
41,17305,"9812 Tiffany Alley Suite 788
Lopezburgh, DC 21034",F,74.0,63.16,Commerce,65.0,Comm&Mgmt,True,1,65.0,Mkt&HR,69.76,,False,,,
42,17306,"2843 Alex Route
Frederickville, WI 43189",M,49.0,39.0,Science,65.0,Others,False,0,63.0,Mkt&Fin,51.21,,False,,,
43,17307,"1089 Dean Vista
Scottberg, NY 24747",M,87.0,87.0,Commerce,68.0,Comm&Mgmt,False,0,95.0,Mkt&HR,62.9,30000.0,True,2020-07-04,2020-10-10,3.0
44,17308,"09592 Walter Pines
Robertstad, HI 86102",F,77.0,73.0,Commerce,81.0,Comm&Mgmt,True,1,89.0,Mkt&Fin,69.7,20000.0,True,2020-01-21,2021-01-04,12.0
45,17309,"07897 James Club Suite 986
New Chelseachester, DC 24514",F,76.0,64.0,Science,72.0,Sci&Tech,False,0,58.0,Mkt&HR,66.53,,False,,,
46,17310,"8497 Steven Estate
Cindyberg, WV 01019",F,70.89,71.98,Science,65.6,Comm&Mgmt,False,0,68.0,Mkt&HR,71.63,,False,,,
47,17311,"9398 Andrea Forks Apt. 413
South Joshua, RI 49477",M,63.0,60.0,Commerce,57.0,Comm&Mgmt,True,1,78.0,Mkt&Fin,54.55,20400.0,True,2020-01-21,2021-01-02,12.0
48,17312,"0478 Sanders Turnpike
Ericafurt, KY 50273",M,63.0,62.0,Commerce,68.0,Comm&Mgmt,False,0,64.0,Mkt&Fin,62.46,25000.0,True,2020-01-10,2020-06-30,6.0
49,17313,"24346 Chris Stream Apt. 376
New Tinachester, VA 43069",F,50.0,37.0,Arts,52.0,Others,False,0,65.0,Mkt&HR,56.11,,False,,,
50,17314,"50704 Branch Pine Apt. 243
Jesseville, PA 26331",F,75.2,73.2,Science,68.4,Comm&Mgmt,False,0,65.0,Mkt&HR,62.98,20000.0,True,2020-07-26,2020-10-27,3.0
51,17315,"6822 Rebecca Unions Apt. 560
Hunterberg, SC 40497",M,54.4,61.12,Commerce,56.2,Comm&Mgmt,False,0,67.0,Mkt&HR,62.65,,False,,,
52,17316,"8236 William Prairie Apt. 451
Robertatown, ND 80226",F,40.89,45.83,Commerce,53.0,Comm&Mgmt,False,0,71.2,Mkt&HR,65.49,,False,,,
53,17317,"PSC 3027, Box 8806
APO AA 29350",M,80.0,70.0,Science,72.0,Sci&Tech,False,0,87.0,Mkt&HR,71.04,45000.0,True,2020-07-16,2020-10-06,3.0
54,17318,"1471 Gill Manors Suite 595
North Ryan, CT 04194",F,74.0,60.0,Science,69.0,Comm&Mgmt,False,0,78.0,Mkt&HR,65.56,21600.0,True,2020-01-22,2020-04-30,3.0
55,17319,"385 Brooks Village
Wintersfort, WA 56053",M,60.4,66.6,Science,65.0,Comm&Mgmt,False,0,71.0,Mkt&HR,52.71,22000.0,True,2020-01-03,2020-12-24,12.0
56,17320,"492 Cochran Dale Suite 523
East Jennifer, WI 23889",M,63.0,71.4,Commerce,61.4,Comm&Mgmt,False,0,68.0,Mkt&Fin,66.88,24000.0,True,2020-07-25,2020-10-11,3.0
57,17321,"844 Nelson Well Suite 851
Jordanburgh, KS 00532",M,68.0,76.0,Commerce,74.0,Comm&Mgmt,False,0,80.0,Mkt&Fin,63.59,36000.0,True,2020-01-28,2020-05-09,3.0
58,17322,"5203 Jennifer Flats
Heatherhaven, TX 34900",M,74.0,62.0,Science,68.0,Comm&Mgmt,False,0,74.0,Mkt&Fin,57.99,26800.0,True,2020-07-17,2020-10-15,3.0
59,17323,"049 Kurt Fords
New Lawrenceton, MO 77895",M,52.6,65.58,Science,72.11,Sci&Tech,False,0,57.6,Mkt&Fin,56.66,26500.0,True,2020-07-11,2020-10-05,3.0
60,17324,"752 Johnson Turnpike
Wrightfurt, NY 74928",M,74.0,70.0,Science,72.0,Comm&Mgmt,True,1,60.0,Mkt&Fin,57.24,26000.0,True,2020-01-14,2021-01-12,12.0
61,17325,"70191 Howard Club
Justinshire, CT 28293",M,84.2,73.4,Commerce,66.89,Comm&Mgmt,False,0,61.6,Mkt&Fin,62.48,30000.0,True,2020-01-27,2020-05-01,3.0
62,17326,"4790 Travis Court Apt. 363
West Angelamouth, DC 60997",F,86.5,64.2,Science,67.4,Sci&Tech,False,0,59.0,Mkt&Fin,59.69,24000.0,True,2020-01-21,2020-04-24,3.0
63,17327,"5376 Amanda Terrace
South Glen, ID 04884",M,61.0,70.0,Commerce,64.0,Comm&Mgmt,False,0,68.5,Mkt&HR,59.5,,False,,,
64,17328,"941 Parker Inlet
New Kristen, FL 02090",M,80.0,73.0,Commerce,75.0,Comm&Mgmt,False,0,61.0,Mkt&Fin,58.78,24000.0,True,2020-01-29,2021-01-20,12.0
65,17329,"21378 Russell Neck
Lake Robertstad, KS 49747",M,54.0,47.0,Science,57.0,Comm&Mgmt,False,0,89.69,Mkt&HR,57.1,,False,,,
66,17330,"46861 Hanson Ridges Suite 587
North Timstad, IL 14150",M,83.0,74.0,Science,66.0,Comm&Mgmt,False,0,68.92,Mkt&HR,58.46,27500.0,True,2020-01-11,2020-04-13,3.0
67,17331,"185 Jasmine Ferry Apt. 294
Port Nancy, NY 68773",M,80.92,78.5,Commerce,67.0,Comm&Mgmt,False,0,68.71,Mkt&Fin,60.99,27500.0,True,2020-01-11,2021-01-07,12.0
68,17332,"89063 Eugene Springs
Patriciachester, KY 12225",F,69.7,47.0,Commerce,72.7,Sci&Tech,False,0,79.0,Mkt&HR,59.24,,False,,,
69,17333,"044 Natasha Squares Apt. 005
East Michaelborough, CO 81959",M,73.0,73.0,Science,66.0,Sci&Tech,True,2,70.0,Mkt&Fin,68.07,27500.0,True,2020-07-26,2020-10-10,3.0
70,17334,"201 Rhodes Isle
Port Robertmouth, MS 27570",M,82.0,61.0,Science,62.0,Sci&Tech,False,0,89.0,Mkt&Fin,65.45,36000.0,True,2020-01-21,2020-04-09,3.0
71,17335,"8749 Julie Station Apt. 267
West Crystalside, IA 51227",M,75.0,70.29,Commerce,71.0,Comm&Mgmt,False,0,95.0,Mkt&Fin,66.94,24000.0,True,2020-01-19,2020-07-25,6.0
72,17336,"01921 Jackson Gardens Apt. 637
Danielberg, OH 02550",M,84.86,67.0,Science,78.0,Comm&Mgmt,False,0,95.5,Mkt&Fin,68.53,24000.0,True,2020-01-12,2020-04-19,3.0
73,17337,"442 Bryan Harbors Apt. 587
Wadetown, ID 31733",M,64.6,83.83,Commerce,71.72,Comm&Mgmt,False,0,86.0,Mkt&Fin,59.75,21800.0,True,2020-01-19,2020-04-15,3.0
74,17338,"29166 Tammy Crest Apt. 839
South Lindaside, FL 79450",M,56.6,64.8,Commerce,70.2,Comm&Mgmt,False,0,84.27,Mkt&Fin,67.2,33600.0,True,2020-01-15,2020-03-30,3.0
75,17339,"61808 Catherine Center
East Lonnieport, OK 54464",F,59.0,62.0,Commerce,77.5,Comm&Mgmt,False,0,74.0,Mkt&HR,67.0,,False,,,
76,17340,"8368 Sarah Well
Newmanville, WA 69934",F,66.5,70.4,Arts,71.93,Comm&Mgmt,False,0,61.0,Mkt&Fin,64.27,23000.0,True,2020-01-21,2020-07-07,6.0
77,17341,"39392 Dodson Club
Youngberg, SC 75263",M,64.0,80.0,Science,65.0,Sci&Tech,True,1,69.0,Mkt&Fin,57.65,50000.0,True,2020-01-04,2020-04-13,3.0
78,17342,"37594 Olson Trail
East Jamesview, KS 30707",M,84.0,90.9,Science,64.5,Sci&Tech,False,0,86.04,Mkt&Fin,59.42,27000.0,True,2020-07-21,2020-10-19,3.0
79,17343,"67988 Jonathan View
Andrewborough, MO 59660",F,69.0,62.0,Science,66.0,Sci&Tech,False,0,75.0,Mkt&HR,67.99,,False,,,
80,17344,"1395 Marquez Turnpike
Jamieshire, IA 26367",F,69.0,62.0,Commerce,69.0,Comm&Mgmt,True,1,67.0,Mkt&HR,62.35,24000.0,True,2020-01-06,2020-06-29,6.0
81,17345,"465 Amber Run Apt. 784
East Ryantown, MI 05577",M,81.7,63.0,Science,67.0,Comm&Mgmt,True,2,86.0,Mkt&Fin,70.2,30000.0,True,2020-07-22,2020-10-20,3.0
82,17346,"Unit 7455 Box 2916
DPO AE 28179",M,63.0,67.0,Commerce,74.0,Comm&Mgmt,False,0,82.0,Mkt&Fin,60.44,,False,,,
83,17347,"6175 Eugene Crossing
Curryview, OH 86092",M,84.0,79.0,Science,68.0,Sci&Tech,True,1,84.0,Mkt&Fin,66.69,30000.0,True,2020-01-14,2020-04-20,3.0
84,17348,"8034 Freeman Meadows
South Bryce, NJ 14719",M,70.0,63.0,Science,70.0,Sci&Tech,True,1,55.0,Mkt&Fin,62.0,30000.0,True,2020-01-21,2020-07-14,6.0
85,17349,"53778 Ashley Alley
South William, NM 30130",F,83.84,89.83,Commerce,77.2,Comm&Mgmt,True,1,78.74,Mkt&Fin,76.18,40000.0,True,2020-01-22,2020-07-09,6.0
86,17350,"8585 Jennifer Road Apt. 853
North Paulside, TX 86220",M,62.0,63.0,Commerce,64.0,Comm&Mgmt,False,0,67.0,Mkt&Fin,57.03,22000.0,True,2020-01-02,2020-12-30,12.0
87,17351,"2120 Kelsey Glens Apt. 004
New Markland, CA 72851",M,59.6,51.0,Science,60.0,Others,False,0,75.0,Mkt&HR,59.08,,False,,,
88,17352,"46660 Patrick Stravenue Suite 393
Port Davidtown, TN 22752",F,66.0,62.0,Commerce,73.0,Comm&Mgmt,False,0,58.0,Mkt&HR,64.36,21000.0,True,2020-01-14,2020-04-18,3.0
89,17353,"38324 Cox Pass
Chambersland, ND 91787",F,84.0,75.0,Science,69.0,Sci&Tech,True,1,62.0,Mkt&HR,62.36,21000.0,True,2020-01-19,2020-04-10,3.0
90,17354,"PSC 8867, Box 5493
APO AA 12943",F,85.0,90.0,Commerce,82.0,Comm&Mgmt,False,0,92.0,Mkt&Fin,68.03,30000.0,True,2020-07-12,2020-10-08,3.0
91,17355,"USNV Baldwin
FPO AE 29267",M,52.0,57.0,Commerce,50.8,Comm&Mgmt,False,0,67.0,Mkt&HR,62.79,,False,,,
92,17356,"4231 Clark Views Suite 900
Salazarchester, MI 13968",F,60.23,69.0,Science,66.0,Comm&Mgmt,False,0,72.0,Mkt&Fin,59.47,23000.0,True,2020-07-14,2020-10-23,3.0
93,17357,"58261 Paul Junction
Jonesshire, DC 85598",M,52.0,62.0,Commerce,54.0,Comm&Mgmt,False,0,72.0,Mkt&HR,55.41,,False,,,
94,17358,"PSC 8236, Box 8555
APO AP 20954",M,58.0,62.0,Commerce,64.0,Comm&Mgmt,False,0,53.88,Mkt&Fin,54.97,26000.0,True,2020-01-15,2020-04-20,3.0
95,17359,"4118 Patel Lodge
East Kristina, KY 49930",M,73.0,78.0,Commerce,65.0,Comm&Mgmt,True,1,95.46,Mkt&Fin,62.16,42000.0,True,2020-07-13,2020-10-03,3.0
96,17360,"4698 Phillips Walk
North Christopher, MT 32251",F,76.0,70.0,Science,76.0,Comm&Mgmt,True,2,66.0,Mkt&Fin,64.44,30000.0,True,2020-01-03,2020-12-29,12.0
97,17361,"731 Valenzuela Knoll
New Maria, SD 66256",F,70.5,62.5,Commerce,61.0,Comm&Mgmt,False,0,93.91,Mkt&Fin,69.03,,False,,,
98,17362,"926 Martinez Unions
Allisonstad, AK 04702",F,69.0,73.0,Commerce,65.0,Comm&Mgmt,False,0,70.0,Mkt&Fin,57.31,22000.0,True,2020-01-11,2020-12-27,12.0
99,17363,"42261 Booth Shores
North Pattyfurt, UT 01028",M,54.0,82.0,Commerce,63.0,Sci&Tech,False,0,50.0,Mkt&Fin,59.47,,False,,,
100,17364,"04359 Megan Drives Apt. 686
Timothychester, RI 03478",F,45.0,57.0,Commerce,58.0,Comm&Mgmt,True,2,56.39,Mkt&HR,64.95,,False,,,
101,17365,"526 Patricia Parks
Mccoyport, DC 77793",M,63.0,72.0,Commerce,68.0,Comm&Mgmt,False,0,78.0,Mkt&HR,60.44,38000.0,True,2020-01-02,2020-06-29,6.0
102,17366,"976 Li Lodge Apt. 715
Michaelborough, KY 20573",F,77.0,61.0,Commerce,68.0,Comm&Mgmt,True,3,57.5,Mkt&Fin,61.31,30000.0,True,2020-01-09,2020-07-08,6.0
